year,asylum_country_code,origin_country_name,asylum_country_name,population_type,location,urban_rural,accommodation_type,female_adolescent,female_adult,female_elderly,female_age_unknown,female_total,male_adolescent,male_adult,male_elderly,male_age_unknown,male_total,total,female_children,male_children,total_children,total_adults
2001,ARG,Sri Lanka,Argentina,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
2001,ARG,Sri Lanka,Argentina,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
2001,AUS,Sri Lanka,Australia,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,532,0,0,0,0
2001,AUS,Sri Lanka,Australia,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,1675,0,0,0,0
2001,AUT,Sri Lanka,Austria,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
2001,AZE,Sri Lanka,Azerbaijan,ASY,Baku,U,U,0,0,0,0,0,0,8,0,0,8,8,0,0,0,8
2001,BEL,Sri Lanka,Belgium,REF,Dispersed in the country / territory,R,U,0,0,0,0,0,0,0,0,12,12,12,0,0,0,0
2001,BLR,Sri Lanka,Belarus,ASY,Minsk,U,U,0,0,0,0,0,0,5,0,0,5,5,0,0,0,5
2001,BRA,Sri Lanka,Brazil,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2001,BGR,Sri Lanka,Bulgaria,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
2001,KHM,Sri Lanka,Cambodia,ASY,Phnom Penh,U,U,0,6,0,0,6,0,0,0,0,0,6,0,0,0,6
2001,KHM,Sri Lanka,Cambodia,REF,Phnom Penh,U,U,0,5,0,0,5,0,0,0,0,0,5,0,0,0,5
2001,CAN,Sri Lanka,Canada,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,3042,0,0,0,0
2001,CAN,Sri Lanka,Canada,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,13161,0,0,0,0
2001,CYP,Sri Lanka,Cyprus,ASY,Dispersed in the country / territory,U,U,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
2001,CYP,Sri Lanka,Cyprus,REF,Dispersed in the country / territory,U,U,0,5,0,0,5,0,0,0,0,0,5,0,0,0,5
2001,CZE,Sri Lanka,Czechia,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
2001,CZE,Sri Lanka,Czechia,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
2001,DNK,Sri Lanka,Denmark,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0
2001,DNK,Sri Lanka,Denmark,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,726,0,0,0,0
2001,ECU,Sri Lanka,Ecuador,ASY,Quito,U,U,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
2001,FIN,Sri Lanka,Finland,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0
2001,FRA,Sri Lanka,France,REF,Dispersed in the country / territory,R,U,0,0,0,5897,5897,0,0,0,9877,9877,15774,0,0,0,0
2001,GBR,Sri Lanka,United Kingdom of Great Britain and Northern Ireland,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,11760,0,0,0,0
2001,DEU,Sri Lanka,Germany,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,547,0,0,0,0
2001,GRC,Sri Lanka,Greece,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
2001,GRC,Sri Lanka,Greece,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
2001,GTM,Sri Lanka,Guatemala,REF,Guatemala City,U,U,0,0,0,0,0,0,9,0,0,9,9,0,0,0,9
2001,HKG,Sri Lanka,"China, Hong Kong Special Administrative Region",ASY,Hong Kong,U,U,0,11,0,0,11,0,84,0,0,84,95,0,0,0,95
2001,HKG,Sri Lanka,"China, Hong Kong Special Administrative Region",REF,Hong Kong,U,U,0,0,0,0,5,0,6,0,0,6,11,5,0,5,6
2001,HRV,Sri Lanka,Croatia,ASY,Jezevo,C,U,0,0,0,0,0,0,5,0,0,5,5,0,0,0,5
2001,HUN,Sri Lanka,Hungary,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
2001,CIV,Sri Lanka,Côte d'Ivoire,ASY,Abidjan,U,U,0,0,0,0,0,0,6,0,0,6,6,0,0,0,6
2001,IND,Sri Lanka,India,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,64061,0,0,0,0
2001,IDN,Sri Lanka,Indonesia,ASY,Jakarta,U,U,0,0,0,0,0,5,15,0,0,20,20,0,0,0,15
2001,IDN,Sri Lanka,Indonesia,REF,Jakarta,U,U,0,0,0,0,0,0,5,0,0,5,5,0,0,0,5
2001,IRL,Sri Lanka,Ireland,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2001,ITA,Sri Lanka,Italy,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
2001,JOR,Sri Lanka,Jordan,ASY,Amman,U,U,0,39,0,0,39,0,0,0,0,5,44,0,5,5,39
2001,LKA,Sri Lanka,Sri Lanka,IDP,Dispersed in the country / territory,R,U,0,0,0,0,0,0,0,0,0,0,683286,0,0,0,0
2001,LKA,Sri Lanka,Sri Lanka,IDP,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,48552,0,0,0,0
2001,LKA,Sri Lanka,Sri Lanka,RET,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2001,LTU,Sri Lanka,Lithuania,REF,Jonava,R,U,0,0,0,0,5,0,0,0,0,0,5,5,0,5,0
2001,MEX,Sri Lanka,Mexico,REF,Mexico City,U,U,0,0,0,0,0,0,26,0,0,26,26,0,0,0,26
2001,MLT,Sri Lanka,Malta,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
2001,NPL,Sri Lanka,Nepal,REF,Kathmandu,U,U,0,0,0,0,0,0,0,0,0,8,8,0,8,8,0
2001,NLD,Sri Lanka,Netherlands (Kingdom of the),ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,1172,0,0,0,0
2001,NLD,Sri Lanka,Netherlands (Kingdom of the),REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,2063,0,0,0,0
2001,NGA,Sri Lanka,Nigeria,REF,Lagos,U,U,0,5,0,0,11,6,7,0,0,13,24,6,0,6,12
2001,NOR,Sri Lanka,Norway,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,1531,0,0,0,0
2001,NZL,Sri Lanka,New Zealand,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0
2001,PAK,Sri Lanka,Pakistan,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
2001,PHL,Sri Lanka,Philippines,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2001,PHL,Sri Lanka,Philippines,REF,Dispersed in the country / territory,U,U,0,8,0,0,8,0,11,0,0,17,25,0,6,6,19
2001,POL,Sri Lanka,Poland,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0
2001,PRT,Sri Lanka,Portugal,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2001,ZAF,Sri Lanka,South Africa,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
2001,SEN,Sri Lanka,Senegal,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
2001,ESP,Sri Lanka,Spain,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
2001,SVK,Sri Lanka,Slovakia,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
2001,SWZ,Sri Lanka,Eswatini,ASY,Dispersed in the country / territory,U,U,0,0,0,0,0,6,0,0,0,6,6,0,0,0,0
2001,SWZ,Sri Lanka,Eswatini,REF,Dispersed in the country / territory,U,U,0,0,0,0,7,0,5,0,0,10,17,7,5,12,5
2001,SWE,Sri Lanka,Sweden,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0
2001,CHE,Sri Lanka,Switzerland,ASY,Dispersed in the country / territory,R,U,12,181,14,0,232,11,203,13,0,265,497,25,38,63,384
2001,CHE,Sri Lanka,Switzerland,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2001,CHE,Sri Lanka,Switzerland,REF,Dispersed in the country / territory,R,U,0,0,0,4289,4289,0,0,0,5110,5110,9399,0,0,0,0
2001,THA,Sri Lanka,Thailand,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
2001,THA,Sri Lanka,Thailand,REF,Bangkok,U,U,0,14,5,0,29,0,23,0,0,28,57,10,5,15,37
2001,TUR,Sri Lanka,Türkiye,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
2001,UGA,Sri Lanka,Uganda,ASY,Kampala,U,U,0,5,0,0,5,0,0,0,0,0,5,0,0,0,5
2001,UKR,Sri Lanka,Ukraine,ASY,Kiev,U,U,0,0,0,0,0,0,5,0,0,5,5,0,0,0,5
2001,UKR,Sri Lanka,Ukraine,REF,Odessa,U,U,0,0,0,0,0,0,5,0,0,5,5,0,0,0,5
2001,USA,Sri Lanka,United States of America,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0
2001,USA,Sri Lanka,United States of America,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,1401,0,0,0,0
2002,ARG,Sri Lanka,Argentina,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
2002,ARG,Sri Lanka,Argentina,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
2002,AUS,Sri Lanka,Australia,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0
2002,AUS,Sri Lanka,Australia,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,1236,0,0,0,0
2002,AUT,Sri Lanka,Austria,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
2002,BEL,Sri Lanka,Belgium,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
2002,BFA,Sri Lanka,Burkina Faso,ASY,Ouagadougou,U,U,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2002,BOL,Sri Lanka,Bolivia (Plurinational State of),ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
2002,BRA,Sri Lanka,Brazil,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2002,BRA,Sri Lanka,Brazil,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2002,BGR,Sri Lanka,Bulgaria,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2002,KHM,Sri Lanka,Cambodia,REF,Phnom Penh,U,U,0,7,0,0,7,0,0,0,0,0,7,0,0,0,7
2002,CAN,Sri Lanka,Canada,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,2360,0,0,0,0
2002,CAN,Sri Lanka,Canada,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,12873,0,0,0,0
2002,CYP,Sri Lanka,Cyprus,ASY,Dispersed in the country / territory,U,U,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
2002,CYP,Sri Lanka,Cyprus,REF,Dispersed in the country / territory,U,U,0,0,0,0,5,0,0,0,0,0,5,5,0,5,0
2002,CZE,Sri Lanka,Czechia,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
2002,CZE,Sri Lanka,Czechia,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
2002,DNK,Sri Lanka,Denmark,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2002,DNK,Sri Lanka,Denmark,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,745,0,0,0,0
2002,ECU,Sri Lanka,Ecuador,REF,Quito,U,U,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2002,FIN,Sri Lanka,Finland,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0
2002,FRA,Sri Lanka,France,REF,Dispersed in the country / territory,R,U,0,0,0,5963,5963,0,0,0,9975,9975,15938,0,0,0,0
2002,GBR,Sri Lanka,United Kingdom of Great Britain and Northern Ireland,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,9545,0,0,0,0
2002,DEU,Sri Lanka,Germany,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0
2002,DEU,Sri Lanka,Germany,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,17403,0,0,0,0
2002,GRC,Sri Lanka,Greece,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0
2002,GTM,Sri Lanka,Guatemala,REF,Guatemala City,U,U,0,0,0,0,0,0,9,0,0,9,9,0,0,0,9
2002,HKG,Sri Lanka,"China, Hong Kong Special Administrative Region",ASY,Hong Kong,U,U,0,9,0,0,9,0,20,0,0,25,34,0,5,5,29
2002,HKG,Sri Lanka,"China, Hong Kong Special Administrative Region",REF,Hong Kong,U,U,0,0,0,0,0,0,13,0,0,13,13,0,0,0,13
2002,HUN,Sri Lanka,Hungary,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
2002,CIV,Sri Lanka,Côte d'Ivoire,ASY,Abidjan,U,U,7,0,0,0,7,0,0,0,0,0,7,0,0,0,0
2002,IND,Sri Lanka,India,REF,Tamil Nadu,C,U,0,0,0,31884,31884,0,0,0,31883,31883,63767,0,0,0,0
2002,IDN,Sri Lanka,Indonesia,ASY,Jakarta,U,U,0,0,0,0,0,0,13,0,0,13,13,0,0,0,13
2002,IDN,Sri Lanka,Indonesia,REF,Jakarta,U,U,0,0,0,0,0,0,5,0,0,5,5,0,0,0,5
2002,IRL,Sri Lanka,Ireland,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
2002,ITA,Sri Lanka,Italy,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,459,0,0,0,0
2002,JOR,Sri Lanka,Jordan,ASY,Amman,U,U,0,5,0,0,5,0,0,0,0,0,5,0,0,0,5
